id,year,tabac,gum
112.0,2011,1.0,2.0
112.0,2012,7.0,20.0
112.0,2013,14.0,2.0
112.0,2014,13.0,14.0
113.0,2011,44.0,29.0
113.0,2012,34.0,15.0
113.0,2014,8.0,1.0
114.0,2010,20.0,6.0
114.0,2011,21.0,4.0
114.0,2013,7.0,2.0
114.0,2014,12.0,6.0
114.0,2017,7.0,7.0
115.0,2010,4.0,20.0
115.0,2012,10.0,2.0
115.0,2013,16.0,11.0
115.0,2016,1.0,12.0
115.0,2017,5.0,1.0
116.0,2010,11.0,23.0
116.0,2011,21.0,8.0
116.0,2012,42.0,22.0
116.0,2013,6.0,1.0
116.0,2014,12.0,2.0
116.0,2015,20.0,2.0
116.0,2016,55.0,12.0
117.0,2010,14.0,12.0
117.0,2011,17.0,4.0
117.0,2012,10.0,10.0
117.0,2013,6.0,10.0
117.0,2014,29.0,13.0
117.0,2015,10.0,3.0
117.0,2016,11.0,51.0
117.0,2017,7.0,1.0
117.0,2019,14.0,2.0
118.0,2010,5.0,2.0
118.0,2011,69.0,55.0
118.0,2012,29.0,31.0
118.0,2013,5.0,30.0
118.0,2014,10.0,4.0
118.0,2019,7.0,3.0
119.0,2010,3.0,2.0
119.0,2011,18.0,4.0
119.0,2012,13.0,14.0
119.0,2013,4.0,40.0
119.0,2014,14.0,1.0
120.0,2010,12.0,3.0
120.0,2011,34.0,48.0
120.0,2012,36.0,15.0
120.0,2013,21.0,5.0
120.0,2014,21.0,2.0
120.0,2016,5.0,1.0
120.0,2017,10.0,2.0
120.0,2018,10.0,1.0
120.0,2019,10.0,1.0
121.0,2011,16.0,32.0
121.0,2012,14.0,5.0
121.0,2013,7.0,30.0
121.0,2014,19.0,5.0
121.0,2015,18.0,10.0
121.0,2016,3.0,1.0
121.0,2017,10.0,1.0
121.0,2018,8.0,6.0
122.0,2010,10.0,5.0
122.0,2011,15.0,2.0
122.0,2012,10.0,3.0
123.0,2011,20.0,1.0
123.0,2014,4.0,1.0
124.0,2010,5.0,3.0
124.0,2012,7.0,1.0
124.0,2013,10.0,10.0
124.0,2016,10.0,1.0
124.0,2018,7.0,2.0
125.0,2010,10.0,10.0
125.0,2012,17.0,3.0
126.0,2010,7.0,2.0
126.0,2011,2.0,1.0
126.0,2012,10.0,12.0
126.0,2013,20.0,30.0
126.0,2014,7.0,4.0
126.0,2015,8.0,4.0
126.0,2016,7.0,1.0
126.0,2017,3.0,3.0
126.0,2019,10.0,2.0
127.0,2012,93.0,17.0
127.0,2013,10.0,20.0
127.0,2014,9.0,3.0
127.0,2016,26.0,11.0
127.0,2017,7.0,1.0
127.0,2018,8.0,1.0
127.0,2019,2.0,1.0
128.0,2010,3.0,12.0
128.0,2011,29.0,38.0
128.0,2012,15.0,17.0
128.0,2013,28.0,31.0
128.0,2014,6.0,1.0
128.0,2015,11.0,11.0
128.0,2017,9.0,2.0
128.0,2018,11.0,2.0
128.0,2019,7.0,2.0
129.0,2011,18.0,2.0
